sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.0,25,A3,0.02353547128030044,0.016917547545101205,0.06617923735199235,0.9645638355279483,1.1160093105240225,0.0
0.0,26,A3,0.04008362150608246,0.03233715887327765,0.0774646263280481,0.8389314320544969,1.124209604925134,0.0
0.0,27,A3,0.03147902148516345,0.024757939096113672,0.06721082389049772,0.9051824828067859,1.1106560742615272,0.0
0.0,28,A3,0.03205335620363344,0.02538900699010271,0.06664349213530733,0.9429497791122549,1.0758575718949601,0.0
0.0,29,A3,0.030868087795221696,0.024632113921734148,0.06235973873487549,0.8922893762626105,1.0961129253094946,0.0
0.25,0,R,0.04483244296530671,0.03798422115610971,0.06848221809197004,nan,nan,nan
0.25,1,R,0.041145828975504506,0.034634011473765124,0.06511817501739382,nan,nan,nan
0.25,2,R,0.03986176818591134,0.033490226715996954,0.06371541469914387,nan,nan,nan
0.25,3,R,0.04495909504809696,0.038462952016899435,0.0649614303119753,nan,nan,nan
0.25,4,R,0.05042596460707471,0.04364988172357114,0.06776082883503563,nan,nan,nan
0.25,5,R,0.03812105870022789,0.03182442481522021,0.06296633885007683,nan,nan,nan
0.25,6,R,0.027869493728371254,0.022249117766953735,0.05620375961417519,nan,nan,nan
0.25,7,R,0.037164715536556585,0.031203520822968903,0.05961194713587678,nan,nan,nan
0.25,8,R,0.027577437490985415,0.021590289360321337,0.059871481306640766,nan,nan,nan
0.25,9,R,0.05260628970114343,0.04580240684958923,0.06803882851554198,nan,nan,nan
0.25,10,R,0.05067620214350274,0.04389321438924065,0.0678298775426209,nan,nan,nan
0.25,11,R,0.04027127474881056,0.033777125630780974,0.06494149118029581,nan,nan,nan
0.25,12,R,0.027399494615225697,0.0216830124924901,0.057164821227355986,nan,nan,nan
0.25,13,R,0.05099587425415718,0.04429101526199222,0.06704858992164953,nan,nan,nan
0.25,14,R,0.052816308102548455,0.04562121411189365,0.07195093990654809,nan,nan,nan
0.25,15,R,0.05707777344859655,0.05015830002349357,0.06919473425102977,nan,nan,nan
0.25,16,R,0.03961635221512756,0.03339179746509815,0.06224554750029415,nan,nan,nan
0.25,17,R,0.0475937136367703,0.04118537334776854,0.0640834028900176,nan,nan,nan
0.25,18,R,0.05040803612579068,0.04346635497850177,0.06941681147288908,nan,nan,nan
0.25,19,R,0.04232884562591614,0.035782909561117265,0.0654593606479888,nan,nan,nan
0.25,20,R,0.05551970095641656,0.04878146359376114,0.06738237362655423,nan,nan,nan
0.25,21,R,0.04113496791265125,0.034680287046359656,0.0645468086629159,nan,nan,nan
0.25,22,R,0.03986422594078809,0.033927718851900365,0.05936507088887725,nan,nan,nan
0.25,23,R,0.030004476349638272,0.02445776719614839,0.0554670915348988,nan,nan,nan
0.25,24,R,0.04347500193405997,0.03692185892306394,0.0655314301099603,nan,nan,nan
0.25,25,R,0.030648934146713994,0.024585431310553883,0.060635028361601125,nan,nan,nan
0.25,26,R,0.049951398895436844,0.04289662484660021,0.07054774048836633,nan,nan,nan
0.25,27,R,0.03743291928801874,0.031239820146229745,0.06193099141788994,nan,nan,nan
0.25,28,R,0.03818412153308033,0.03204797104456787,0.06136150488512458,nan,nan,nan
0.25,29,R,0.03622503052973854,0.03049073009154404,0.057343004381945034,nan,nan,nan
0.25,0,A1,0.036055680583131924,0.02738338373599187,0.08672296847140055,1.0,1.0610969053913881,0.0
0.25,1,A1,0.02904983315042537,0.0209507976825584,0.0809903546786697,1.0,1.0061829783244973,0.0
0.25,2,A1,0.031128848798049315,0.02326945853186082,0.07859390266188496,1.0,1.0403562685072603,0.0
0.25,3,A1,0.03558013486836466,0.027516461560211626,0.08063673308153027,1.0,1.003982075621525,0.0
0.25,4,A1,0.04124185650764157,0.03252387037206468,0.08717986135576887,1.0,1.0201593322522629,0.0
0.25,5,A1,0.028384543911804266,0.02057594055469212,0.07808603357112145,1.0,1.0048625724159868,0.0
